Turno;Curso;Unidade de execução;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Slots;Características pedidas;Sala da aula;Lotação
02996TP03;226;Introdução à Programação (Iefp);A;24;;;Seg;11:00:00;13:00:00;4;Sala de Aulas normal;;
02996TP03;226;Introdução à Programação (Iefp);A;24;;;Qui;11:00:00;13:00:00;4;Sala de Aulas normal;;
02996TP04;226;Introdução à Programação (Iefp);C;21;;;Seg;16:00:00;18:00:00;4;Sala de Aulas normal;;
02996TP04;226;Introdução à Programação (Iefp);C;21;;;Qui;16:00:00;18:00:00;4;Sala de Aulas normal;;
02997TP01;226;Programação em Ferramentas Office Avançadas;D;22;;;Ter;16:00:00;18:00:00;4;Sala de Aulas normal;;
02997TP01;226;Programação em Ferramentas Office Avançadas;D;22;;;Sex;16:00:00;18:00:00;4;Sala de Aulas normal;;
02997TP02;226;Programação em Ferramentas Office Avançadas;A;24;;;Ter;09:00:00;11:00:00;4;Sala de Aulas normal;;
02997TP02;226;Programação em Ferramentas Office Avançadas;A;24;;;Sex;09:00:00;11:00:00;4;Sala de Aulas normal;;
02997TP03;226;Programação em Ferramentas Office Avançadas;B;25;;;Ter;11:00:00;13:00:00;4;Sala de Aulas normal;;
02997TP03;226;Programação em Ferramentas Office Avançadas;B;25;;;Sex;11:00:00;13:00:00;4;Sala de Aulas normal;;
